,subject,task,session,run,ppg,rsp,ecg,eda,biopac,eyetracking,ppg_quality_mean,ppg_quality_std,rsp_quality_mean,rsp_quality_std,ecg_quality_mean,ecg_quality_std
200,1,PassiveLowVid,06Pets,0,False,False,False,False,False,False,,,,,,
201,1,PassiveLowVid,06Pets,1,True,True,True,True,True,True,0.9864959879801184,0.0485731381541257,12.90951548819106,1.0404417978132492,0.7536679055074069,0.3883115588520404
202,1,PassiveLowVid,06Pets,1.acq,False,False,False,False,False,False,,,,,,
203,1,PassiveLowVid,06Pets,2,False,False,False,False,False,False,,,,,,
204,1,PassiveLowVid,06Pets,3,False,False,False,False,False,False,,,,,,
205,1,PassiveMixedVid,06Pets,0,False,False,False,False,False,False,,,,,,
206,1,PassiveMixedVid,06Pets,1,True,True,True,True,True,True,0.9566431531755416,0.1109592413529346,12.067546564428314,1.5497096543705586,0.6892371679308258,0.3976245281812169
207,1,PassiveMixedVid,06Pets,1.acq,False,False,False,False,False,False,,,,,,
208,1,PassiveMixedVid,06Pets,2,False,False,False,False,False,False,,,,,,
209,1,PassiveMixedVid,06Pets,3,False,False,False,False,False,False,,,,,,
210,1,ActiveHighVid,07Food,0,False,False,False,False,False,False,,,,,,
211,1,ActiveHighVid,07Food,1,True,True,True,True,True,True,0.947230046825114,0.0964675441884106,10.98727512478675,1.1973903879103345,0.8183686938358977,0.368520211659609
212,1,ActiveHighVid,07Food,1.acq,False,False,False,False,False,False,,,,,,
213,1,ActiveHighVid,07Food,2,False,False,False,False,False,False,,,,,,
214,1,ActiveHighVid,07Food,3,False,False,False,False,False,False,,,,,,
215,1,ActiveLowVid,07Food,0,False,False,False,False,False,False,,,,,,
216,1,ActiveLowVid,07Food,1,True,True,True,True,True,True,0.964146235111482,0.0414154573966665,11.685355921512,0.9282224327501822,0.8403514579878832,0.1956337284992185
217,1,ActiveLowVid,07Food,1.acq,False,False,False,False,False,False,,,,,,
218,1,ActiveLowVid,07Food,2,False,False,False,False,False,False,,,,,,
219,1,ActiveLowVid,07Food,3,False,False,False,False,False,False,,,,,,
220,1,ActiveMixedVid,07Food,0,False,False,False,False,False,False,,,,,,
221,1,ActiveMixedVid,07Food,1,True,True,True,True,True,True,0.9577749964207932,0.0517799667945362,11.269797103680132,1.0675227687896762,0.7584303469963134,0.2430137903924884
222,1,ActiveMixedVid,07Food,1.acq,False,False,False,False,False,False,,,,,,
223,1,ActiveMixedVid,07Food,2,False,False,False,False,False,False,,,,,,
224,1,ActiveMixedVid,07Food,3,False,False,False,False,False,False,,,,,,
225,1,PVT,07Food,0,False,False,False,False,False,False,,,,,,
226,1,PVT,07Food,1,True,True,True,True,True,True,0.9612397639846056,0.0540338339015395,12.057879417188149,1.0432012055233433,0.7380962832849881,0.2555442252295141
227,1,PVT,07Food,1.acq,False,False,False,False,False,False,,,,,,
228,1,PVT,07Food,2,False,False,False,False,False,False,,,,,,
229,1,PVT,07Food,3,False,False,False,False,False,False,,,,,,
230,1,PassiveHighVid,07Food,0,False,False,False,False,False,False,,,,,,
231,1,PassiveHighVid,07Food,1,True,True,True,True,True,True,0.9543219489500758,0.0819570150505411,11.383193037461249,1.083023749951204,0.7776823125432226,0.246601578453814
232,1,PassiveHighVid,07Food,1.acq,False,False,False,False,False,False,,,,,,
233,1,PassiveHighVid,07Food,2,False,False,False,False,False,False,,,,,,
234,1,PassiveHighVid,07Food,3,False,False,False,False,False,False,,,,,,
235,1,PassiveLowVid,07Food,0,False,False,False,False,False,False,,,,,,
236,1,PassiveLowVid,07Food,1,True,True,True,True,True,True,0.9452420120674456,0.0877496951075861,11.078362543659868,1.0781183527075793,0.745388061901621,0.3058215780234801
237,1,PassiveLowVid,07Food,1.acq,False,False,False,False,False,False,,,,,,
238,1,PassiveLowVid,07Food,2,False,False,False,False,False,False,,,,,,
239,1,PassiveLowVid,07Food,3,False,False,False,False,False,False,,,,,,
240,1,PassiveMixedVid,07Food,0,False,False,False,False,False,False,,,,,,
241,1,PassiveMixedVid,07Food,1,True,True,True,True,True,True,0.948112103599404,0.0945789741651963,11.492330908246894,1.1611297191656906,0.7157282346994451,0.2917169071231161
242,1,PassiveMixedVid,07Food,1.acq,False,False,False,False,False,False,,,,,,
243,1,PassiveMixedVid,07Food,2,False,False,False,False,False,False,,,,,,
244,1,PassiveMixedVid,07Food,3,False,False,False,False,False,False,,,,,,
245,1,ActiveHighVid,08Diy,0,False,False,False,False,False,False,,,,,,
246,1,ActiveHighVid,08Diy,1,True,True,False,True,True,True,0.976678041229985,0.0675055552392257,11.57266383137241,0.9939204040648636,,
247,1,ActiveHighVid,08Diy,1.acq,False,False,False,False,False,False,,,,,,
248,1,ActiveHighVid,08Diy,2,False,False,False,False,False,False,,,,,,
249,1,ActiveHighVid,08Diy,3,False,False,False,False,False,False,,,,,,
250,1,ActiveLowVid,08Diy,0,False,False,False,False,False,False,,,,,,
251,1,ActiveLowVid,08Diy,1,True,True,False,True,True,True,0.9680288155054328,0.0934549781121836,11.787491643749346,1.2913294515385405,,
252,1,ActiveLowVid,08Diy,1.acq,False,False,False,False,False,False,,,,,,
253,1,ActiveLowVid,08Diy,2,False,False,False,False,False,False,,,,,,
254,1,ActiveLowVid,08Diy,3,False,False,False,False,False,False,,,,,,
255,1,ActiveMixedVid,08Diy,0,False,False,False,False,False,False,,,,,,
256,1,ActiveMixedVid,08Diy,1,True,True,False,True,True,True,0.9236764080754688,0.1383547261171477,11.810607164952398,1.665559756118158,,
257,1,ActiveMixedVid,08Diy,1.acq,False,False,False,False,False,False,,,,,,
258,1,ActiveMixedVid,08Diy,2,False,False,False,False,False,False,,,,,,
259,1,ActiveMixedVid,08Diy,3,False,False,False,False,False,False,,,,,,
260,1,PVT,08Diy,0,False,False,False,False,False,False,,,,,,
261,1,PVT,08Diy,1,True,True,False,True,True,True,0.9451487457332212,0.1358322763748593,12.804202374953714,1.0250022116687794,,
262,1,PVT,08Diy,1.acq,False,False,False,False,False,False,,,,,,
263,1,PVT,08Diy,2,False,False,False,False,False,False,,,,,,
264,1,PVT,08Diy,3,False,False,False,False,False,False,,,,,,
265,1,PassiveHighVid,08Diy,0,False,False,False,False,False,False,,,,,,
266,1,PassiveHighVid,08Diy,1,True,True,False,True,True,True,0.8816668113008307,0.2446859616267681,11.309995260707822,1.3095962951370863,,
267,1,PassiveHighVid,08Diy,1.acq,False,False,False,False,False,False,,,,,,
268,1,PassiveHighVid,08Diy,2,False,False,False,False,False,False,,,,,,
269,1,PassiveHighVid,08Diy,3,False,False,False,False,False,False,,,,,,
270,1,PassiveLowVid,08Diy,0,False,False,False,False,False,False,,,,,,
271,1,PassiveLowVid,08Diy,1,True,True,False,True,True,True,0.9533623783522852,0.1096792359698554,11.519209864429731,1.3420971240514952,,
272,1,PassiveLowVid,08Diy,1.acq,False,False,False,False,False,False,,,,,,
273,1,PassiveLowVid,08Diy,2,False,False,False,False,False,False,,,,,,
274,1,PassiveLowVid,08Diy,3,False,False,False,False,False,False,,,,,,
275,1,PassiveMixedVid,08Diy,0,False,False,False,False,False,False,,,,,,
276,1,PassiveMixedVid,08Diy,1,True,True,False,True,True,True,0.968911847245061,0.0790119504590164,11.90446581366692,1.0099839943419853,,
277,1,PassiveMixedVid,08Diy,1.acq,False,False,False,False,False,False,,,,,,
278,1,PassiveMixedVid,08Diy,2,False,False,False,False,False,False,,,,,,
279,1,PassiveMixedVid,08Diy,3,False,False,False,False,False,False,,,,,,
280,1,ActiveHighVid,09Nature,0,False,False,False,False,False,False,,,,,,
281,1,ActiveHighVid,09Nature,1,True,True,True,True,True,True,0.967910892491624,0.111222458902213,10.545285162100743,1.6904436970435313,0.9091869540022884,0.1703998664884958
282,1,ActiveHighVid,09Nature,1.acq,False,False,False,False,False,False,,,,,,
283,1,ActiveHighVid,09Nature,2,False,False,False,False,False,False,,,,,,
284,1,ActiveHighVid,09Nature,3,False,False,False,False,False,False,,,,,,
285,1,ActiveLowVid,09Nature,0,False,False,False,False,False,False,,,,,,
286,1,ActiveLowVid,09Nature,1,True,True,True,True,True,True,0.97673785121018,0.0664241066986709,11.500270193189737,1.2184868406253608,0.8881300128897642,0.2427206878993799
287,1,ActiveLowVid,09Nature,1.acq,False,False,False,False,False,False,,,,,,
288,1,ActiveLowVid,09Nature,2,False,False,False,False,False,False,,,,,,
289,1,ActiveLowVid,09Nature,3,False,False,False,False,False,False,,,,,,
290,1,ActiveMixedVid,09Nature,0,False,False,False,False,False,False,,,,,,
291,1,ActiveMixedVid,09Nature,1,True,True,True,True,True,True,0.9798431695067686,0.0477518492698814,10.895474221521283,1.9170704047262737,0.8398041025446237,0.2115571391358458
292,1,ActiveMixedVid,09Nature,1.acq,False,False,False,False,False,False,,,,,,
293,1,ActiveMixedVid,09Nature,2,False,False,False,False,False,False,,,,,,
294,1,ActiveMixedVid,09Nature,3,False,False,False,False,False,False,,,,,,
295,1,PVT,09Nature,0,False,False,False,False,False,False,,,,,,
296,1,PVT,09Nature,1,True,True,True,True,True,True,0.9960511813879318,0.0052850087770816,12.09072219007716,1.287199575661314,0.8382165049783434,0.2524798106032676
297,1,PVT,09Nature,1.acq,False,False,False,False,False,False,,,,,,
298,1,PVT,09Nature,2,False,False,False,False,False,False,,,,,,
299,1,PVT,09Nature,3,False,False,False,False,False,False,,,,,,
300,1,PassiveHighVid,09Nature,0,False,False,False,False,False,False,,,,,,
301,1,PassiveHighVid,09Nature,1,True,True,True,True,True,True,0.9719338818282628,0.0957092591076363,11.508313340098937,1.1995228310510002,0.6983942757624108,0.936156035828596
302,1,PassiveHighVid,09Nature,1.acq,False,False,False,False,False,False,,,,,,
303,1,PassiveHighVid,09Nature,2,False,False,False,False,False,False,,,,,,
304,1,PassiveHighVid,09Nature,3,False,False,False,False,False,False,,,,,,
305,1,PassiveLowVid,09Nature,0,False,False,False,False,False,False,,,,,,
306,1,PassiveLowVid,09Nature,1,True,True,True,True,True,True,0.9814561700997684,0.0780393739885801,9.581541116765994,2.095168232356574,0.8878264305487324,0.2661295458959392
307,1,PassiveLowVid,09Nature,1.acq,False,False,False,False,False,False,,,,,,
308,1,PassiveLowVid,09Nature,2,False,False,False,False,False,False,,,,,,
309,1,PassiveLowVid,09Nature,3,False,False,False,False,False,False,,,,,,
310,1,PassiveMixedVid,09Nature,0,False,False,False,False,False,False,,,,,,
311,1,PassiveMixedVid,09Nature,1,True,True,True,True,True,True,0.957017491480438,0.137280551673838,11.969634515591858,1.5405529414933017,0.8606542685442764,0.2517112511758305
312,1,PassiveMixedVid,09Nature,1.acq,False,False,False,False,False,False,,,,,,
313,1,PassiveMixedVid,09Nature,2,False,False,False,False,False,False,,,,,,
314,1,PassiveMixedVid,09Nature,3,False,False,False,False,False,False,,,,,,
315,1,ActiveHighVid,10Travel,0,False,False,False,False,False,False,,,,,,
316,1,ActiveHighVid,10Travel,1,True,True,True,True,True,True,0.9361836944372904,0.1270605748075297,9.577129428823918,1.646117372964786,0.8014446972935959,0.2942713480221371
317,1,ActiveHighVid,10Travel,1.acq,False,False,False,False,False,False,,,,,,
318,1,ActiveHighVid,10Travel,2,False,False,False,False,False,False,,,,,,
319,1,ActiveHighVid,10Travel,3,False,False,False,False,False,False,,,,,,
320,1,ActiveLowVid,10Travel,0,False,False,False,False,False,False,,,,,,
321,1,ActiveLowVid,10Travel,1,True,True,True,True,True,True,0.943663403618692,0.083555156695851,10.782009459107844,1.5633395340407843,0.8505300862370503,0.2026813396693368
322,1,ActiveLowVid,10Travel,1.acq,False,False,False,False,False,False,,,,,,
323,1,ActiveLowVid,10Travel,2,False,False,False,False,False,False,,,,,,
324,1,ActiveLowVid,10Travel,3,False,False,False,False,False,False,,,,,,
325,1,ActiveMixedVid,10Travel,0,False,False,False,False,False,False,,,,,,
326,1,ActiveMixedVid,10Travel,1,True,True,True,True,True,True,0.8687995653161191,0.2128222109446491,9.264643466288762,1.6471385501216849,0.6928110576570999,0.4411710965535701
327,1,ActiveMixedVid,10Travel,1.acq,False,False,False,False,False,False,,,,,,
328,1,ActiveMixedVid,10Travel,2,False,False,False,False,False,False,,,,,,
329,1,ActiveMixedVid,10Travel,3,False,False,False,False,False,False,,,,,,
330,1,PVT,10Travel,0,False,False,False,False,False,False,,,,,,
331,1,PVT,10Travel,1,True,True,True,True,True,True,0.9124762157257108,0.1474953832507677,10.343816587795285,1.7262980169685007,0.796050435316594,0.2806199052273312
332,1,PVT,10Travel,1.acq,False,False,False,False,False,False,,,,,,
333,1,PVT,10Travel,2,False,False,False,False,False,False,,,,,,
334,1,PVT,10Travel,3,False,False,False,False,False,False,,,,,,
335,1,PassiveHighVid,10Travel,0,False,False,False,False,False,False,,,,,,
336,1,PassiveHighVid,10Travel,1,True,True,True,True,True,True,0.8781055919109633,0.2221357741552327,9.130130333261244,1.539315511379145,0.7791177303357818,0.4043707358015518
337,1,PassiveHighVid,10Travel,1.acq,False,False,False,False,False,False,,,,,,
338,1,PassiveHighVid,10Travel,2,False,False,False,False,False,False,,,,,,
