,Unnamed: 0,subject,task,session,run,ppg,rsp,ecg,eda,biopac,eyetracking,ppg_quality,rsp_quality,ecg_quality,eda_quality,eyetracking_quality,eyetracking_before_interp
474,10,8,PVT,02Nature,1,True,True,True,True,True,False,1.0,1.0,1.0,1.0,1.0,0.0
475,11,8,PassiveHighVid,02Nature,1,True,True,True,True,True,True,0.9899536924241,1.0,1.0,1.0,0.9377480821578817,0.5053798564711705
476,12,8,PassiveLowVid,02Nature,1,True,True,True,True,True,True,0.9825549422654368,1.0,1.0,1.0,0.9535064043764889,0.5267624408560285
477,13,8,PassiveMixedVid,02Nature,1,True,True,True,True,True,True,1.0,1.0,1.0,1.0,0.926676125115481,0.5073940873696714
478,14,8,ActiveHighVid,03Fitness,1,True,True,True,True,True,False,1.0,1.0,1.0,1.0,1.0,0.0
479,15,8,ActiveLowVid,03Fitness,1,True,True,True,True,True,False,1.0,1.0,1.0,1.0,1.0,0.0
480,16,8,ActiveMixedVid,03Fitness,1,True,True,True,True,True,False,1.0,1.0,1.0,1.0,1.0,0.0
481,17,8,PVT,03Fitness,1,True,True,True,True,True,False,1.0,1.0,1.0,1.0,1.0,0.0
482,18,8,PassiveHighVid,03Fitness,1,True,True,True,True,True,False,1.0,1.0,1.0,1.0,1.0,0.0
483,19,8,PassiveLowVid,03Fitness,1,True,True,True,True,True,False,0.9913790767285164,1.0,1.0,1.0,1.0,0.0
484,20,8,PassiveMixedVid,03Fitness,1,True,True,True,True,True,False,1.0,1.0,1.0,1.0,1.0,0.0
485,21,8,ActiveHighVid,04Diy,1,True,True,True,True,True,True,0.599289140305076,1.0,1.0,1.0,0.989467883975148,0.5252562913885434
486,22,8,ActiveLowVid,04Diy,1,True,True,True,True,True,True,0.1714771007734584,1.0,1.0,1.0,0.9286633451017917,0.4857656646979246
487,23,8,ActiveMixedVid,04Diy,1,True,True,True,True,True,True,0.9922013475667284,1.0,1.0,1.0,0.9076675344902114,0.5057068472267593
488,24,8,PVT,04Diy,1,True,True,True,True,True,True,0.0392403112381271,1.0,1.0,1.0,1.0,0.4866278622528783
489,25,8,PassiveHighVid,04Diy,1,True,True,True,True,True,True,1.0,1.0,1.0,1.0,0.8850345635424743,0.49061422467127513
490,26,8,PassiveLowVid,04Diy,1,True,True,True,True,True,True,0.9848657877350672,1.0,1.0,1.0,0.945373312611159,0.5385125570437245
491,27,8,PassiveMixedVid,04Diy,1,True,True,True,True,True,True,0.5879486592596367,1.0,1.0,1.0,0.9645904408707875,0.561257349496176
492,0,9,ActiveHighVid,01Nature,1,True,True,True,True,True,False,0.9808199096398096,1.0,1.0,1.0,1.0,0.0
493,1,9,ActiveLowVid,01Nature,1,True,True,True,True,True,False,0.9832076040543596,1.0,1.0,1.0,1.0,0.0
494,2,9,ActiveMixedVid,01Nature,1,True,True,True,True,True,False,0.975549480126714,1.0,1.0,1.0,1.0,0.0
495,3,9,PVT,01Nature,1,True,True,True,True,True,False,1.0,1.0,1.0,1.0,1.0,0.0
496,4,9,PassiveHighVid,01Nature,1,True,True,True,True,True,False,0.9518108026217168,1.0,1.0,1.0,1.0,0.0
497,5,9,PassiveLowVid,01Nature,1,True,True,True,True,True,False,0.9546274815205048,1.0,1.0,1.0,1.0,0.0
498,6,9,PassiveMixedVid,01Nature,1,True,True,True,True,True,False,0.9816230507222756,1.0,1.0,1.0,1.0,0.0
499,7,9,ActiveHighVid,02Food,1,True,True,True,True,True,False,0.9490430813613429,1.0,1.0,1.0,1.0,0.0
500,8,9,ActiveLowVid,02Food,1,True,True,True,True,True,False,0.990798945432368,1.0,1.0,1.0,1.0,0.0
501,9,9,ActiveMixedVid,02Food,1,True,True,True,True,True,False,0.9530311975155809,1.0,1.0,1.0,1.0,0.0
502,10,9,PVT,02Food,1,True,True,True,True,True,False,0.9890500617434888,1.0,1.0,1.0,1.0,0.0
503,11,9,PassiveHighVid,02Food,1,True,True,True,True,True,False,0.9918414205181052,1.0,1.0,1.0,1.0,0.0
504,12,9,PassiveLowVid,02Food,1,True,True,True,True,True,False,0.9545548501402628,1.0,1.0,1.0,1.0,0.0
505,13,9,PassiveMixedVid,02Food,1,True,True,True,True,True,False,0.9432583787979296,1.0,1.0,1.0,1.0,0.0
506,14,9,ActiveHighVid,03Pets,1,True,True,True,True,True,False,0.9917726049714892,1.0,1.0,1.0,1.0,0.0
507,15,9,ActiveLowVid,03Pets,1,True,True,True,True,True,False,0.9635199362355348,1.0,1.0,1.0,1.0,0.0
508,16,9,ActiveMixedVid,03Pets,1,True,True,True,True,True,False,0.9421782389544716,1.0,1.0,1.0,1.0,0.0
509,17,9,PVT,03Pets,1,True,True,True,True,True,False,0.9631686800927426,1.0,1.0,1.0,1.0,0.0
510,18,9,PassiveHighVid,03Pets,1,True,True,True,True,True,False,0.9410657973412404,1.0,1.0,1.0,1.0,0.0
511,19,9,PassiveLowVid,03Pets,1,True,True,True,True,True,False,0.9319796171741872,1.0,1.0,1.0,1.0,0.0
512,20,9,PassiveMixedVid,03Pets,1,True,True,True,True,True,False,0.9323356473671812,1.0,1.0,1.0,1.0,0.0
513,21,9,ActiveHighVid,04Baby,1,True,True,True,True,True,False,0.9589642486941322,1.0,1.0,1.0,1.0,0.0
514,22,9,ActiveLowVid,04Baby,1,True,True,True,True,True,False,0.9229136777882204,1.0,1.0,1.0,1.0,0.0
515,23,9,ActiveMixedVid,04Baby,1,True,True,True,True,True,False,0.9567360666701952,1.0,1.0,1.0,1.0,0.0
516,24,9,PVT,04Baby,1,True,True,True,True,True,False,0.9877499715158352,1.0,1.0,1.0,1.0,0.0
517,25,9,PassiveHighVid,04Baby,1,True,True,True,True,True,False,0.983236993274188,1.0,1.0,1.0,1.0,0.0
518,26,9,PassiveLowVid,04Baby,1,True,True,True,True,True,False,0.974201580936956,1.0,1.0,1.0,1.0,0.0
519,27,9,PassiveMixedVid,04Baby,1,True,True,True,True,True,False,0.9408295845632308,1.0,1.0,1.0,1.0,0.0
520,0,10,ActiveHighVid,01Diy,1,True,True,True,True,True,True,1.0,1.0,1.0,1.0,1.0,0.5671757035003432
521,1,10,ActiveLowVid,01Diy,1,True,True,True,True,True,True,1.0,1.0,1.0,1.0,1.0,0.6265487601669609
522,2,10,ActiveMixedVid,01Diy,1,True,True,True,True,True,True,1.0,1.0,1.0,1.0,0.9504655505770716,0.6200005279099385
523,3,10,PVT,01Diy,1,True,True,True,True,True,True,1.0,1.0,1.0,1.0,1.0,0.6760404990585873
524,4,10,PassiveHighVid,01Diy,1,True,True,True,True,True,True,1.0,1.0,1.0,1.0,1.0,0.5994905534621907
525,5,10,PassiveLowVid,01Diy,1,True,True,True,True,True,True,1.0,1.0,1.0,1.0,1.0,0.6369758157642944
526,6,10,PassiveMixedVid,01Diy,1,True,True,True,True,True,True,0.9420650119752254,1.0,1.0,1.0,1.0,0.5913690760971779
527,7,10,ActiveHighVid,02Beauty,1,True,True,True,True,True,True,1.0,1.0,1.0,1.0,1.0,0.6448447655811805
528,8,10,ActiveLowVid,02Beauty,1,True,True,True,True,True,True,0.9729006216486172,1.0,1.0,1.0,1.0,0.6306720692658976
529,9,10,ActiveMixedVid,02Beauty,1,True,True,True,True,True,True,0.9757814207291124,1.0,1.0,1.0,1.0,0.6470273784107521
530,10,10,PVT,02Beauty,1,True,True,True,True,True,True,0.9895478366494888,1.0,1.0,1.0,1.0,0.7059082101006253
531,11,10,PassiveHighVid,02Beauty,1,True,True,True,True,True,True,0.945808944127742,1.0,1.0,1.0,1.0,0.6255799066869923
532,12,10,PassiveLowVid,02Beauty,1,True,True,True,True,True,True,1.0,1.0,1.0,1.0,1.0,0.6081122102192864
533,13,10,PassiveMixedVid,02Beauty,1,True,True,True,True,True,True,0.8389394362818442,1.0,1.0,1.0,1.0,0.6340685991453978
