MSG	8342432	DISPLAY_COORDS 0 0 1023 767								
MSG	8344122	TRIALID 1								
MSG	8346879	DRIFTCORRECT R RIGHT at 512,384  OFFSET 0.26 deg.  1.5,-13.0 pix.								
MSG	8347536	RECCFG CR 250 2 1 R								
MSG	8347536	ELCLCFG MLRR								
MSG	8347536	GAZE_COORDS 0.00 0.00 1023.00 767.00								
MSG	8347536	THRESHOLDS R 71 146								
MSG	8347536	ELCL_WINDOW_SIZES 176 188 0 0								
MSG	8347536	CAMERA_LENS_FOCAL_LENGTH 38.00								
MSG	8347536	ELCL_PROC ELLIPSE  (5)								
MSG	8347536	ELCL_EFIT_PARAMS 1.01 4.00  0.15 0.05  0.65 0.65  0.00 0.00 0.30								
MSG	8347537	!MODE RECORD CR 250 2 1 R								
SSACC	R	8352017								
SBLINK	R	8352049								
EBLINK	R	8352049	8352185	140						
ESACC	R	8352017	8352229	216	713.5	339.0	773.7	376.4	1.22	566
SFIX	R	8352233								
EFIX	R	8352233	8352417	188	790.8	355.0	1277			
SSACC	R	8352421								
ESACC	R	8352421	8352469	52	784.9	326.6	927.7	359.8	2.41	208
SFIX	R	8352473								
EFIX	R	8352473	8352501	32	923.0	348.0	1263			
SSACC	R	8352505								
ESACC	R	8352505	8352573	72	918.4	344.5	161.4	394.4	12.31	339
SFIX	R	8352577								
EFIX	R	8352577	8352781	208	170.3	429.3	1180			
SSACC	R	8352785								
ESACC	R	8352785	8352805	24	179.1	432.5	286.2	395.5	1.88	154
SFIX	R	8352809								
EFIX	R	8352809	8352997	192	275.8	394.9	1122			
SSACC	R	8353001								
ESACC	R	8353001	8353021	24	272.7	388.6	379.4	394.6	1.75	164
SFIX	R	8353025								
EFIX	R	8353025	8353201	180	374.8	397.4	1090			
SSACC	R	8353205								
ESACC	R	8353205	8353241	40	379.3	397.3	552.8	384.7	2.85	151
SFIX	R	8353245								
EFIX	R	8353245	8353437	196	568.4	390.2	1237			
SSACC	R	8353441								
ESACC	R	8353441	8353537	100	579.0	383.5	855.1	421.1	4.56	207
SFIX	R	8353541								
EFIX	R	8353541	8353609	72	862.8	397.3	1262			
SSACC	R	8353613								
ESACC	R	8353613	8353625	16	863.7	392.8	867.2	360.8	0.63	65
SFIX	R	8353629								
EFIX	R	8353629	8353653	28	869.3	388.4	1273			
SSACC	R	8353657								
ESACC	R	8353657	8353665	12	867.2	401.5	867.3	371.1	0.59	74
SFIX	R	8353669								
EFIX	R	8353669	8353709	44	870.5	383.9	1290			
SSACC	R	8353713								
SBLINK	R	8353769								
EBLINK	R	8353769	8353997	232						
