MSG	8342432	DISPLAY_COORDS 0 0 1023 767								
MSG	8344122	TRIALID 1								
MSG	8346879	DRIFTCORRECT R RIGHT at 512,384  OFFSET 0.26 deg.  1.5,-13.0 pix.								
MSG	8347536	RECCFG CR 250 2 1 R								
MSG	8347536	ELCLCFG MLRR								
MSG	8347536	GAZE_COORDS 0.00 0.00 1023.00 767.00								
MSG	8347536	THRESHOLDS R 71 146								
MSG	8347536	ELCL_WINDOW_SIZES 176 188 0 0								
MSG	8347536	CAMERA_LENS_FOCAL_LENGTH 38.00								
MSG	8347536	ELCL_PROC ELLIPSE  (5)								
MSG	8347536	ELCL_EFIT_PARAMS 1.01 4.00  0.15 0.05  0.65 0.65  0.00 0.00 0.30								
MSG	8347537	!MODE RECORD CR 250 2 1 R								
SFIX	R	8431541								
EFIX	R	8431541	8431629	92	875.4	571.1	1103			
SSACC	R	8431633								
ESACC	R	8431633	8431645	16	885.4	599.9	889.8	570.7	0.56	70
SFIX	R	8431649								
EFIX	R	8431649	8431685	40	887.1	588.9	1122			
SSACC	R	8431689								
ESACC	R	8431689	8431701	16	886.8	600.7	922.5	560.9	0.95	103
SFIX	R	8431705								
EFIX	R	8431705	8431749	48	919.7	564.0	1146			
SSACC	R	8431753								
SBLINK	R	8431805								
EBLINK	R	8431805	8431897	96						
ESACC	R	8431753	8431993	244	906.4	563.0	434.8	87.6	11.99	777
SFIX	R	8431997								
EFIX	R	8431997	8432205	212	436.3	185.4	1110			
SSACC	R	8432209								
ESACC	R	8432209	8432225	20	460.4	210.5	444.0	136.3	1.48	149
SFIX	R	8432229								
EFIX	R	8432229	8432353	128	442.1	153.1	1082			
SSACC	R	8432357								
ESACC	R	8432357	8432381	28	439.5	144.7	439.2	150.4	0.11	48
SFIX	R	8432385								
MSG	8432698	VIDEO_MARKER_00360								
EFIX	R	8432385	8432957	576	443.2	138.9	995			
SSACC	R	8432961								
ESACC	R	8432961	8432985	28	448.5	142.9	396.7	311.7	3.42	234
SFIX	R	8432989								
EFIX	R	8432989	8433397	412	416.7	334.0	1119			
SSACC	R	8433401								
ESACC	R	8433401	8433417	20	417.4	322.0	413.5	298.8	0.46	93
SFIX	R	8433421								
EFIX	R	8433421	8433513	96	416.1	299.7	1303			
SSACC	R	8433517								
ESACC	R	8433517	8433541	28	418.3	303.1	419.1	296.5	0.13	72
SFIX	R	8433545								
EFIX	R	8433545	8433577	36	422.2	282.6	1328			
SSACC	R	8433581								
ESACC	R	8433581	8433601	24	421.5	274.4	543.6	218.3	2.29	177
SFIX	R	8433605								
EFIX	R	8433605	8433721	120	530.2	211.9	1328			
SSACC	R	8433725								
ESACC	R	8433725	8433737	16	526.5	212.5	526.2	185.1	0.54	80
SFIX	R	8433741								
EFIX	R	8433741	8433817	80	532.4	186.9	1350			
SSACC	R	8433821								
ESACC	R	8433821	8433833	16	532.7	177.2	533.2	196.7	0.38	71
SFIX	R	8433837								
EFIX	R	8433837	8433889	56	532.1	210.8	1311			
SSACC	R	8433893								
ESACC	R	8433893	8433917	28	531.9	221.7	528.9	220.9	0.05	160
SFIX	R	8433921								
EFIX	R	8433921	8434025	108	522.4	218.9	1280			
SSACC	R	8434029								
ESACC	R	8434029	8434077	52	518.3	225.2	450.4	113.9	2.45	152
SFIX	R	8434081								
EFIX	R	8434081	8434113	36	454.3	150.5	1292			
SSACC	R	8434117								
ESACC	R	8434117	8434169	56	460.2	151.3	458.9	167.9	0.33	127
SFIX	R	8434173								
EFIX	R	8434173	8434313	144	462.9	168.5	1285			
SSACC	R	8434317								
ESACC	R	8434317	8434345	32	463.4	159.5	467.4	183.6	0.48	61
SFIX	R	8434349								
EFIX	R	8434349	8434481	136	469.6	181.5	1281			
SSACC	R	8434485								
ESACC	R	8434485	8434497	16	475.7	175.7	476.9	163.6	0.24	64
SFIX	R	8434501								
EFIX	R	8434501	8434537	40	476.9	173.6	1317			
SSACC	R	8434541								
ESACC	R	8434541	8434589	52	480.1	175.8	483.1	181.7	0.13	85
SFIX	R	8434593								
EFIX	R	8434593	8434625	36	486.9	161.1	1327			
SSACC	R	8434629								
MSG	8434698	VIDEO_MARKER_00420								
ESACC	R	8434629	8434725	100	488.9	177.5	496.6	172.8	0.16	112
SFIX	R	8434729								
EFIX	R	8434729	8434765	40	497.3	153.8	1349			
SSACC	R	8434769								
ESACC	R	8434769	8434789	24	498.3	151.7	498.1	155.6	0.08	87
SFIX	R	8434793								
EFIX	R	8434793	8434881	92	501.9	148.5	1362			
SSACC	R	8434885								
ESACC	R	8434885	8434993	112	502.2	127.4	853.3	635.0	11.37	350
SFIX	R	8434997								
EFIX	R	8434997	8435041	48	853.2	637.8	1357			
SSACC	R	8435045								
ESACC	R	8435045	8435057	16	858.0	648.2	864.5	633.4	0.30	75
SFIX	R	8435061								
EFIX	R	8435061	8435085	28	862.9	641.3	1370			
SSACC	R	8435089								
ESACC	R	8435089	8435117	32	874.6	641.7	923.4	597.4	1.15	134
SFIX	R	8435121								
EFIX	R	8435121	8435197	80	915.0	619.3	1358			
SSACC	R	8435201								
ESACC	R	8435201	8435377	180	916.9	620.9	544.1	249.0	9.40	330
SFIX	R	8435381								
EFIX	R	8435381	8435653	276	521.9	292.1	1277			
SSACC	R	8435657								
ESACC	R	8435657	8435709	56	510.6	338.5	383.9	70.1	5.65	330
SFIX	R	8435713								
EFIX	R	8435713	8436129	420	386.2	96.9	1188			
SSACC	R	8436133								
ESACC	R	8436133	8436145	16	407.1	94.1	449.7	79.6	0.76	68
SFIX	R	8436149								
EFIX	R	8436149	8436305	160	449.0	56.7	1240			
SSACC	R	8436309								
ESACC	R	8436309	8436425	120	461.1	45.1	835.2	657.9	13.30	209
SFIX	R	8436429								
EFIX	R	8436429	8436457	32	847.7	651.6	1325			
SSACC	R	8436461								
ESACC	R	8436461	8436481	24	847.8	647.3	852.6	633.8	0.27	58
SFIX	R	8436485								
EFIX	R	8436485	8436517	36	860.6	624.6	1358			
SSACC	R	8436521								
ESACC	R	8436521	8436525	8	868.6	628.3	870.2	643.8	0.30	54
SFIX	R	8436529								
EFIX	R	8436529	8436593	68	885.8	650.0	1335			
SSACC	R	8436597								
ESACC	R	8436597	8436609	16	887.0	651.1	879.6	648.1	0.13	59
SFIX	R	8436613								
EFIX	R	8436613	8436641	32	877.6	650.9	1340			
SSACC	R	8436645								
ESACC	R	8436645	8436657	16	876.3	661.8	881.3	614.0	0.91	86
SFIX	R	8436661								
MSG	8436698	VIDEO_MARKER_00480								
EFIX	R	8436661	8436897	240	871.2	583.0	1366			
SSACC	R	8436901								
ESACC	R	8436901	8436965	68	879.5	588.6	611.2	264.7	7.64	320
SFIX	R	8436969								
EFIX	R	8436969	8437065	100	610.3	272.1	1359			
SSACC	R	8437069								
ESACC	R	8437069	8437097	32	602.7	268.3	592.3	288.8	0.44	74
SFIX	R	8437101								
EFIX	R	8437101	8437165	68	591.5	288.2	1356			
SSACC	R	8437169								
ESACC	R	8437169	8437241	76	589.7	280.6	573.3	316.1	0.75	98
SFIX	R	8437245								
EFIX	R	8437245	8437285	44	574.8	294.7	1344			
SSACC	R	8437289								
ESACC	R	8437289	8437293	8	574.1	312.9	574.5	325.5	0.25	54
SFIX	R	8437297								
EFIX	R	8437297	8437353	60	566.3	319.6	1315			
SSACC	R	8437357								
ESACC	R	8437357	8437361	8	564.2	349.8	561.8	343.2	0.14	52
SFIX	R	8437365								
EFIX	R	8437365	8437397	36	561.9	332.1	1307			
SSACC	R	8437401								
ESACC	R	8437401	8437445	48	570.1	332.8	857.5	595.3	6.90	270
SFIX	R	8437449								
EFIX	R	8437449	8437525	80	844.1	605.8	1253			
SSACC	R	8437529								
ESACC	R	8437529	8437549	24	848.9	626.4	851.0	632.3	0.12	65
SFIX	R	8437553								
EFIX	R	8437553	8437613	64	852.1	623.3	1243			
SSACC	R	8437617								
ESACC	R	8437617	8437625	12	855.4	630.7	851.1	633.0	0.08	53
SFIX	R	8437629								
EFIX	R	8437629	8437657	32	852.4	626.7	1252			
SSACC	R	8437661								
ESACC	R	8437661	8437677	20	853.3	628.3	854.2	619.4	0.17	65
SFIX	R	8437681								
EFIX	R	8437681	8437741	64	855.2	621.4	1267			
SSACC	R	8437745								
ESACC	R	8437745	8437777	36	860.3	626.8	870.7	592.4	0.68	94
SFIX	R	8437781								
EFIX	R	8437781	8437809	32	863.1	607.5	1302			
SSACC	R	8437813								
ESACC	R	8437813	8437829	20	863.8	608.2	860.2	592.1	0.31	105
SFIX	R	8437833								
EFIX	R	8437833	8437865	36	864.2	593.9	1306			
SSACC	R	8437869								
SBLINK	R	8437929								
EBLINK	R	8437929	8438149	224						
ESACC	R	8437869	8438189	324	868.2	620.6	791.1	629.7	1.25	314
SFIX	R	8438193								
EFIX	R	8438193	8438277	88	794.0	603.6	1063			
SSACC	R	8438281								
ESACC	R	8438281	8438289	12	809.1	618.6	811.4	638.5	0.38	53
SFIX	R	8438293								
EFIX	R	8438293	8438509	220	805.1	656.9	1065			
SSACC	R	8438513								
ESACC	R	8438513	8438529	20	817.1	650.3	840.6	599.8	1.04	77
SFIX	R	8438533								
EFIX	R	8438533	8438597	68	835.1	614.3	1117			
SSACC	R	8438601								
SBLINK	R	8438629								
MSG	8438698	VIDEO_MARKER_00540								
EBLINK	R	8438629	8438797	172						
ESACC	R	8438601	8438873	276	832.0	603.9	802.5	603.5	0.48	486
SFIX	R	8438877								
EFIX	R	8438877	8439061	188	822.1	645.3	1171			
SSACC	R	8439065								
ESACC	R	8439065	8439125	64	824.1	653.1	552.2	451.1	5.88	273
SFIX	R	8439129								
EFIX	R	8439129	8439281	156	540.6	454.1	1187			
SSACC	R	8439285								
SBLINK	R	8439345								
EBLINK	R	8439345	8439477	136						
ESACC	R	8439285	8439533	252	535.8	442.8	509.8	415.0	0.69	1114
SFIX	R	8439537								
EFIX	R	8439537	8439565	32	508.1	370.3	1097			
SSACC	R	8439569								
ESACC	R	8439569	8439573	8	465.5	332.2	462.0	329.3	0.08	50
SFIX	R	8439577								
EFIX	R	8439577	8439629	56	498.5	357.7	1083			
SSACC	R	8439633								
ESACC	R	8439633	8439645	16	495.9	340.5	451.0	277.2	1.44	154
SFIX	R	8439649								
EFIX	R	8439649	8439801	156	432.1	204.3	1057			
SSACC	R	8439805								
ESACC	R	8439805	8439877	76	440.2	231.0	788.8	586.7	8.94	197
SFIX	R	8439881								
EFIX	R	8439881	8440061	184	802.8	624.4	955			
SSACC	R	8440065								
ESACC	R	8440065	8440081	20	817.0	623.5	853.8	640.2	0.67	84
SFIX	R	8440085								
EFIX	R	8440085	8440325	244	845.5	644.3	951			
SSACC	R	8440329								
ESACC	R	8440329	8440385	60	838.9	654.6	414.4	229.9	10.73	286
SFIX	R	8440389								
MSG	8440698	VIDEO_MARKER_00600								
EFIX	R	8440389	8440741	356	399.8	305.5	933			
SSACC	R	8440745								
ESACC	R	8440745	8440809	68	401.8	319.4	826.5	664.5	9.59	296
SFIX	R	8440813								
EFIX	R	8440813	8440905	96	838.0	660.3	885			
SSACC	R	8440909								
ESACC	R	8440909	8440921	16	842.0	661.8	844.3	643.0	0.36	84
SFIX	R	8440925								
EFIX	R	8440925	8441177	256	847.5	642.0	928			
SSACC	R	8441181								
ESACC	R	8441181	8441193	16	845.7	647.2	848.7	655.1	0.16	62
SFIX	R	8441197								
EFIX	R	8441197	8441233	40	846.9	648.2	948			
SSACC	R	8441237								
ESACC	R	8441237	8441241	8	844.1	646.0	843.9	637.0	0.17	51
SFIX	R	8441245								
EFIX	R	8441245	8441273	32	845.2	651.2	952			
SSACC	R	8441277								
ESACC	R	8441277	8441301	28	846.8	655.4	883.6	602.8	1.16	91
SFIX	R	8441305								
EFIX	R	8441305	8441525	224	881.3	622.0	1018			
SSACC	R	8441529								
ESACC	R	8441529	8441541	16	887.2	615.2	887.1	617.2	0.04	72
SFIX	R	8441545								
EFIX	R	8441545	8441625	84	886.0	627.2	1055			
SSACC	R	8441629								
ESACC	R	8441629	8441677	52	885.7	622.7	756.1	655.2	2.18	161
SFIX	R	8441681								
EFIX	R	8441681	8441937	260	747.7	633.7	1105			
SSACC	R	8441941								
ESACC	R	8441941	8442001	64	749.0	609.8	751.0	655.8	0.88	94
SFIX	R	8442005								
EFIX	R	8442005	8442049	48	751.8	649.3	1104			
SSACC	R	8442053								
ESACC	R	8442053	8442129	80	763.5	654.5	872.3	614.9	1.91	165
SFIX	R	8442133								
EFIX	R	8442133	8442293	164	872.7	617.7	1101			
SSACC	R	8442297								
ESACC	R	8442297	8442309	16	871.3	608.3	869.3	620.4	0.23	65
SFIX	R	8442313								
EFIX	R	8442313	8442357	48	867.0	620.7	1128			
SSACC	R	8442361								
ESACC	R	8442361	8442393	36	865.4	619.7	869.6	613.6	0.13	60
SFIX	R	8442397								
EFIX	R	8442397	8442437	44	867.1	623.0	1159			
SSACC	R	8442441								
ESACC	R	8442441	8442453	16	866.6	625.0	867.7	619.6	0.10	53
SFIX	R	8442457								
EFIX	R	8442457	8442493	40	867.6	618.0	1174			
SSACC	R	8442497								
ESACC	R	8442497	8442641	148	866.7	624.0	524.2	200.6	9.91	366
SFIX	R	8442645								
MSG	8442698	VIDEO_MARKER_00660								
EFIX	R	8442645	8442721	80	520.4	209.7	1227			
SSACC	R	8442725								
ESACC	R	8442725	8442737	16	517.8	220.0	519.0	197.5	0.44	64
SFIX	R	8442741								
EFIX	R	8442741	8442797	60	520.4	212.2	1239			
SSACC	R	8442801								
ESACC	R	8442801	8442829	32	520.7	206.4	523.4	227.6	0.42	82
MSG	8442832	VIDEO_SKIPPED								
SFIX	R	8442833								
MSG	8442881	VIDEO_START								
EFIX	R	8442833	8442941	112	522.2	215.5	1232			
SSACC	R	8442945								
ESACC	R	8442945	8442965	24	524.0	205.2	523.5	233.5	0.56	86
SFIX	R	8442969								
EFIX	R	8442969	8443077	112	526.7	228.8	1222			
SSACC	R	8443081								
ESACC	R	8443081	8443093	16	528.7	237.5	527.8	216.1	0.42	52
SFIX	R	8443097								
EFIX	R	8443097	8443125	32	528.5	238.3	1228			
SSACC	R	8443129								
ESACC	R	8443129	8443161	36	530.6	235.1	531.2	244.8	0.19	68
SFIX	R	8443165								
EFIX	R	8443165	8443269	108	530.7	238.4	1274			
SSACC	R	8443273								
ESACC	R	8443273	8443297	28	529.4	240.4	528.2	307.2	1.31	84
SFIX	R	8443301								
EFIX	R	8443301	8443329	32	538.6	320.3	1312			
SSACC	R	8443333								
ESACC	R	8443333	8443341	12	537.4	333.7	536.8	312.1	0.42	53
SFIX	R	8443345								
EFIX	R	8443345	8443365	24	537.1	310.5	1336			
SSACC	R	8443369								
ESACC	R	8443369	8443377	12	536.9	298.4	539.1	321.3	0.45	56
SFIX	R	8443381								
EFIX	R	8443381	8443453	76	537.7	327.8	1361			
SSACC	R	8443457								
ESACC	R	8443457	8443597	144	537.3	328.0	914.2	656.0	8.79	260
SFIX	R	8443601								
EFIX	R	8443601	8443665	68	893.4	636.3	1452			
SSACC	R	8443669								
ESACC	R	8443669	8443681	16	900.9	638.4	898.1	680.8	0.81	85
SFIX	R	8443685								
EFIX	R	8443685	8443713	32	896.1	669.7	1448			
SSACC	R	8443717								
ESACC	R	8443717	8443729	16	896.8	663.6	894.1	661.4	0.06	76
SFIX	R	8443733								
EFIX	R	8443733	8443761	32	890.6	680.7	1441			
SSACC	R	8443765								
ESACC	R	8443765	8443813	52	892.0	684.3	891.4	654.2	0.57	90
SFIX	R	8443817								
EFIX	R	8443817	8443845	32	885.8	671.8	1455			
SSACC	R	8443849								
ESACC	R	8443849	8443865	20	887.4	668.7	883.7	679.1	0.21	72
SFIX	R	8443869								
EFIX	R	8443869	8443917	52	882.5	668.7	1444			
SSACC	R	8443921								
ESACC	R	8443921	8444025	108	879.3	683.3	871.8	674.8	0.20	122
SFIX	R	8444029								
EFIX	R	8444029	8444069	44	874.8	663.9	1411			
SSACC	R	8444073								
ESACC	R	8444073	8444157	88	881.3	669.6	646.2	327.8	7.61	341
SFIX	R	8444161								
EFIX	R	8444161	8444209	52	634.0	351.6	1423			
SSACC	R	8444213								
ESACC	R	8444213	8444341	132	625.2	366.5	591.3	120.3	4.86	297
SFIX	R	8444345								
EFIX	R	8444345	8444469	128	591.4	173.6	1462			
SSACC	R	8444473								
ESACC	R	8444473	8444509	40	581.0	177.6	561.9	352.5	3.44	218
SFIX	R	8444513								
EFIX	R	8444513	8444565	56	561.2	341.2	1461			
SSACC	R	8444569								
ESACC	R	8444569	8444605	40	556.6	349.7	549.8	304.3	0.90	73
SFIX	R	8444609								
EFIX	R	8444609	8444677	72	545.7	324.8	1463			
SSACC	R	8444681								
ESACC	R	8444681	8444821	144	538.9	333.3	838.2	523.7	6.12	343
SFIX	R	8444825								
MSG	8444831	VIDEO_MARKER_00060								
EFIX	R	8444825	8444849	28	835.5	541.8	1496			
SSACC	R	8444853								
ESACC	R	8444853	8444905	56	838.3	536.9	842.0	544.8	0.16	78
SFIX	R	8444909								
EFIX	R	8444909	8444961	56	844.2	536.9	1537			
SSACC	R	8444965								
ESACC	R	8444965	8445025	64	846.9	511.2	850.2	513.6	0.07	119
SFIX	R	8445029								
EFIX	R	8445029	8445057	32	845.9	532.6	1577			
SSACC	R	8445061								
MSG	8445082	VIDEO_SKIPPED								
MSG	8445131	VIDEO_START								
ESACC	R	8445061	8445133	76	846.3	515.5	844.5	571.0	1.07	73
SFIX	R	8445137								
EFIX	R	8445137	8445157	24	843.2	556.2	1600			
SSACC	R	8445161								
ESACC	R	8445161	8445345	188	840.0	563.1	464.9	298.8	7.97	358
SFIX	R	8445349								
EFIX	R	8445349	8445465	120	474.9	326.4	1590			
SSACC	R	8445469								
ESACC	R	8445469	8445473	8	472.2	311.2	469.9	305.2	0.12	61
SFIX	R	8445477								
EFIX	R	8445477	8445517	44	470.5	331.8	1477			
SSACC	R	8445521								
ESACC	R	8445521	8445557	40	460.1	342.7	386.2	356.2	1.24	126
SFIX	R	8445561								
EFIX	R	8445561	8445633	76	385.6	357.0	1189			
SSACC	R	8445637								
SBLINK	R	8445693								
EBLINK	R	8445693	8445801	112						
ESACC	R	8445637	8445861	228	380.9	357.4	343.6	88.6	5.30	1013
SFIX	R	8445865								
EFIX	R	8445865	8445893	32	323.4	70.7	1095			
SSACC	R	8445897								
ESACC	R	8445897	8445909	16	313.2	83.5	312.3	130.9	0.93	102
SFIX	R	8445913								
EFIX	R	8445913	8446053	144	332.2	142.3	1043			
SSACC	R	8446057								
ESACC	R	8446057	8446073	20	340.7	162.5	312.9	105.3	1.21	105
SFIX	R	8446077								
EFIX	R	8446077	8446101	28	315.4	101.2	1068			
SSACC	R	8446105								
ESACC	R	8446105	8446109	8	319.7	119.4	320.1	112.6	0.13	52
SFIX	R	8446113								
EFIX	R	8446113	8446345	236	330.4	113.8	1107			
SSACC	R	8446349								
ESACC	R	8446349	8446365	20	331.7	111.4	399.6	87.8	1.21	112
SFIX	R	8446369								
EFIX	R	8446369	8446713	348	387.1	107.1	1153			
SSACC	R	8446717								
ESACC	R	8446717	8446733	20	384.0	121.1	342.5	107.9	0.73	78
SFIX	R	8446737								
EFIX	R	8446737	8446777	44	340.7	107.7	1267			
SSACC	R	8446781								
ESACC	R	8446781	8446785	8	344.3	114.8	342.8	117.5	0.06	51
SFIX	R	8446789								
EFIX	R	8446789	8446897	112	342.8	118.6	1267			
SSACC	R	8446901								
ESACC	R	8446901	8446941	44	342.9	131.1	356.6	352.7	4.35	238
SFIX	R	8446945								
EFIX	R	8446945	8446997	56	368.6	336.4	1346			
SSACC	R	8447001								
ESACC	R	8447001	8447009	12	373.5	301.6	374.1	308.9	0.14	47
SFIX	R	8447013								
MSG	8447097	VIDEO_MARKER_00060								
EFIX	R	8447013	8447101	92	368.8	350.9	1356			
SSACC	R	8447105								
ESACC	R	8447105	8447153	52	364.5	376.8	366.6	440.2	1.24	98
SFIX	R	8447157								
EFIX	R	8447157	8447269	116	365.3	438.1	1244			
SSACC	R	8447273								
ESACC	R	8447273	8447313	44	370.7	445.2	783.1	604.8	7.37	296
SFIX	R	8447317								
EFIX	R	8447317	8447529	216	769.1	634.6	1287			
SSACC	R	8447533								
SBLINK	R	8447569								
EBLINK	R	8447569	8447729	164						
ESACC	R	8447533	8447845	316	758.5	610.5	417.6	343.5	7.58	315
MSG	8447848	VIDEO_SKIPPED								
SFIX	R	8447849								
MSG	8447880	VIDEO_START								
EFIX	R	8447849	8447969	124	412.5	375.7	1233			
SSACC	R	8447973								
ESACC	R	8447973	8448017	48	411.2	359.0	414.6	351.9	0.15	72
SFIX	R	8448021								
EFIX	R	8448021	8448041	24	414.7	375.6	1309			
SSACC	R	8448045								
ESACC	R	8448045	8448057	16	415.1	388.7	418.1	357.9	0.60	70
SFIX	R	8448061								
EFIX	R	8448061	8448085	28	414.4	369.2	1308			
SSACC	R	8448089								
ESACC	R	8448089	8448133	48	412.3	376.3	509.2	215.0	3.54	296
SFIX	R	8448137								
EFIX	R	8448137	8448277	144	507.9	197.3	1296			
SSACC	R	8448281								
ESACC	R	8448281	8448293	16	505.8	179.2	508.7	190.3	0.22	60
SFIX	R	8448297								
EFIX	R	8448297	8448333	40	508.9	197.7	1301			
SSACC	R	8448337								
ESACC	R	8448337	8448393	60	511.2	186.2	507.4	182.8	0.09	97
SFIX	R	8448397								
EFIX	R	8448397	8448425	32	510.6	197.7	1324			
SSACC	R	8448429								
ESACC	R	8448429	8448569	144	509.4	196.5	812.0	584.4	9.00	350
SFIX	R	8448573								
EFIX	R	8448573	8448673	104	804.2	597.9	1368			
SSACC	R	8448677								
ESACC	R	8448677	8448709	36	799.7	599.2	904.6	567.5	1.80	130
SFIX	R	8448713								
EFIX	R	8448713	8448745	36	894.8	569.0	1404			
SSACC	R	8448749								
ESACC	R	8448749	8448809	64	887.7	589.6	894.6	598.0	0.20	78
SFIX	R	8448813								
EFIX	R	8448813	8448873	64	898.5	601.2	1415			
SSACC	R	8448877								
ESACC	R	8448877	8448993	120	897.3	608.7	522.0	156.5	10.67	334
SFIX	R	8448997								
EFIX	R	8448997	8449077	84	536.7	174.8	1458			
SSACC	R	8449081								
ESACC	R	8449081	8449085	8	527.4	175.3	525.1	190.7	0.30	77
SFIX	R	8449089								
EFIX	R	8449089	8449313	228	519.5	206.8	1458			
SSACC	R	8449317								
ESACC	R	8449317	8449325	12	518.6	233.2	521.6	208.2	0.49	62
SFIX	R	8449329								
EFIX	R	8449329	8449445	120	520.7	221.8	1438			
SSACC	R	8449449								
ESACC	R	8449449	8449457	12	521.8	213.1	520.2	213.6	0.03	50
SFIX	R	8449461								
EFIX	R	8449461	8449501	44	520.6	216.7	1444			
SSACC	R	8449505								
ESACC	R	8449505	8449533	32	519.3	218.5	470.9	242.4	0.92	127
SFIX	R	8449537								
EFIX	R	8449537	8449689	156	484.7	256.1	1444			
SSACC	R	8449693								
ESACC	R	8449693	8449697	8	487.8	247.1	483.1	238.7	0.18	53
SFIX	R	8449701								
MSG	8449830	VIDEO_MARKER_00060								
EFIX	R	8449701	8449885	188	493.5	260.5	1475			
SSACC	R	8449889								
ESACC	R	8449889	8449953	68	499.0	252.0	503.7	238.7	0.27	78
SFIX	R	8449957								
EFIX	R	8449957	8449997	44	503.3	249.8	1495			
SSACC	R	8450001								
ESACC	R	8450001	8450065	68	509.2	234.2	498.6	261.2	0.56	86
SFIX	R	8450069								
EFIX	R	8450069	8450121	56	500.9	247.2	1480			
SSACC	R	8450125								
ESACC	R	8450125	8450141	20	495.2	242.2	406.8	252.7	1.47	113
SFIX	R	8450145								
EFIX	R	8450145	8450225	84	387.3	238.9	1480			
SSACC	R	8450229								
ESACC	R	8450229	8450241	16	387.4	226.6	389.2	240.4	0.27	65
SFIX	R	8450245								
EFIX	R	8450245	8450281	40	385.6	236.0	1457			
SSACC	R	8450285								
SBLINK	R	8450337								
EBLINK	R	8450337	8450481	148						
ESACC	R	8450285	8450541	260	385.1	215.3	436.0	235.3	0.92	763
SFIX	R	8450545								
EFIX	R	8450545	8450573	32	456.1	235.2	1423			
SSACC	R	8450577								
ESACC	R	8450577	8450633	60	465.6	216.9	455.5	268.1	1.02	113
SFIX	R	8450637								
EFIX	R	8450637	8451017	384	468.2	313.0	1318			
SSACC	R	8451021								
ESACC	R	8451021	8451041	24	483.5	316.3	535.9	235.0	1.81	133
SFIX	R	8451045								
EFIX	R	8451045	8451421	380	542.1	227.1	1225			
SSACC	R	8451425								
SBLINK	R	8451469								
EBLINK	R	8451469	8451601	136						
ESACC	R	8451425	8451689	268	546.1	190.9	472.9	156.4	1.38	874
SFIX	R	8451693								
MSG	8451830	VIDEO_MARKER_00120								
EFIX	R	8451693	8451833	144	490.5	183.9	1176			
SSACC	R	8451837								
ESACC	R	8451837	8451845	12	497.8	213.8	512.5	191.5	0.50	62
SFIX	R	8451849								
EFIX	R	8451849	8452561	716	519.4	198.1	1151			
SSACC	R	8452565								
ESACC	R	8452565	8452617	56	521.3	191.6	850.4	672.5	10.71	342
SFIX	R	8452621								
EFIX	R	8452621	8452681	64	866.3	661.5	1236			
SSACC	R	8452685								
ESACC	R	8452685	8452697	16	866.0	670.7	864.0	652.5	0.35	51
SFIX	R	8452701								
EFIX	R	8452701	8452821	124	866.4	670.7	1223			
SSACC	R	8452825								
ESACC	R	8452825	8452829	8	876.5	651.8	888.5	641.5	0.27	59
SFIX	R	8452833								
EFIX	R	8452833	8452857	28	898.4	629.8	1222			
SSACC	R	8452861								
ESACC	R	8452861	8452913	56	896.0	617.6	507.4	344.6	8.22	352
SFIX	R	8452917								
EFIX	R	8452917	8452941	28	492.4	345.4	1266			
SSACC	R	8452945								
ESACC	R	8452945	8452957	16	479.8	348.2	479.9	382.5	0.67	79
SFIX	R	8452961								
EFIX	R	8452961	8453657	700	471.2	403.6	1060			
SSACC	R	8453661								
ESACC	R	8453661	8453685	28	471.1	417.0	439.9	199.6	4.29	316
SFIX	R	8453689								
EFIX	R	8453689	8453725	40	437.5	210.4	1134			
SSACC	R	8453729								
ESACC	R	8453729	8453745	20	439.7	234.8	439.8	209.9	0.49	80
SFIX	R	8453749								
EFIX	R	8453749	8453777	32	438.6	217.4	1148			
SSACC	R	8453781								
ESACC	R	8453781	8453821	44	438.1	203.7	440.3	247.6	0.86	100
SFIX	R	8453825								
MSG	8453830	VIDEO_MARKER_00180								
EFIX	R	8453825	8453873	52	438.0	245.1	1152			
SSACC	R	8453877								
ESACC	R	8453877	8453893	20	439.1	246.6	441.1	247.4	0.04	128
SFIX	R	8453897								
EFIX	R	8453897	8453977	84	440.5	247.0	1142			
SSACC	R	8453981								
ESACC	R	8453981	8453989	12	442.1	233.0	444.3	256.5	0.46	58
SFIX	R	8453993								
EFIX	R	8453993	8454085	96	442.4	250.4	1124			
SSACC	R	8454089								
ESACC	R	8454089	8454101	16	443.3	245.2	441.7	230.9	0.28	85
SFIX	R	8454105								
EFIX	R	8454105	8454125	24	447.8	253.1	1138			
SSACC	R	8454129								
ESACC	R	8454129	8454173	48	461.8	280.5	476.2	288.0	0.28	124
SFIX	R	8454177								
EFIX	R	8454177	8454237	64	474.7	307.0	1198			
SSACC	R	8454241								
ESACC	R	8454241	8454309	72	472.2	352.4	471.9	340.1	0.24	107
SFIX	R	8454313								
EFIX	R	8454313	8454337	28	471.9	327.0	1200			
SSACC	R	8454341								
ESACC	R	8454341	8454381	44	473.6	308.9	435.6	202.3	2.18	165
SFIX	R	8454385								
EFIX	R	8454385	8454565	184	429.1	215.1	1191			
SSACC	R	8454569								
ESACC	R	8454569	8454581	16	421.7	218.4	423.0	233.2	0.29	56
SFIX	R	8454585								
EFIX	R	8454585	8454621	40	422.5	227.1	1230			
SSACC	R	8454625								
ESACC	R	8454625	8454669	48	424.3	238.1	439.9	294.2	1.13	108
SFIX	R	8454673								
